symbol,timestamp,date,open,high,low,close,volume,prev_close,pct_change,exchange
RELIANCE.NS,2026-08-31T09:15:00+05:30,2026-08-31,1446.56,1454.16,1445.75,1453.23,192473,1450.0,0.2228,NSE
RELIANCE.NS,2026-08-31T09:16:00+05:30,2026-08-31,1456.08,1457.83,1454.81,1457.34,116244,1453.23,0.2828,NSE
RELIANCE.NS,2026-08-31T09:17:00+05:30,2026-08-31,1455.39,1457.08,1446.28,1447.87,524898,1457.34,-0.6498,NSE
RELIANCE.NS,2026-08-31T09:18:00+05:30,2026-08-31,1448.52,1511.66,1448.22,1509.4,252414,1447.87,4.2497,NSE
RELIANCE.NS,2026-08-31T09:19:00+05:30,2026-08-31,1508.19,1514.87,1505.58,1514.19,437944,1509.4,0.3173,NSE
RELIANCE.NS,2026-08-31T09:20:00+05:30,2026-08-31,1513.28,1514.45,1503.42,1504.55,362370,1514.19,-0.6366,NSE
TCS.NS,2026-08-31T09:15:00+05:30,2026-08-31,3053.5,3068.23,3048.14,3064.99,530114,3050.0,0.4915,NSE
TCS.NS,2026-08-31T09:16:00+05:30,2026-08-31,3061.82,3065.51,3039.41,3044.33,510621,3064.99,-0.6741,NSE
TCS.NS,2026-08-31T09:17:00+05:30,2026-08-31,3047.44,3048.93,3045.72,3048.1,427289,3044.33,0.1238,NSE
TCS.NS,2026-08-31T09:18:00+05:30,2026-08-31,3053.52,3076.63,3051.05,3071.76,616478,3048.1,0.7762,NSE
TCS.NS,2026-08-31T09:19:00+05:30,2026-08-31,3069.68,3080.87,3068.04,3078.43,401440,3071.76,0.2171,NSE
TCS.NS,2026-08-31T09:20:00+05:30,2026-08-31,3081.26,3089.34,3077.51,3088.37,709594,3078.43,0.3229,NSE
HDFCBANK.NS,2026-08-31T09:15:00+05:30,2026-08-31,1976.67,1988.86,1973.15,1987.26,378339,1980.0,0.3667,NSE
HDFCBANK.NS,2026-08-31T09:16:00+05:30,2026-08-31,1990.67,1996.0,1989.54,1993.13,142390,1987.26,0.2954,NSE
HDFCBANK.NS,2026-08-31T09:17:00+05:30,2026-08-31,1992.15,2003.47,1988.84,2002.86,497955,1993.13,0.4882,NSE
HDFCBANK.NS,2026-08-31T09:18:00+05:30,2026-08-31,2002.85,2006.09,1991.2,1993.65,281773,2002.86,-0.4598,NSE
HDFCBANK.NS,2026-08-31T09:19:00+05:30,2026-08-31,1991.12,1993.31,1984.92,1986.15,641094,1993.65,-0.3762,NSE
HDFCBANK.NS,2026-08-31T09:20:00+05:30,2026-08-31,1985.15,1999.89,1981.58,1998.79,743132,1986.15,0.6364,NSE
INFY.NS,2026-08-31T09:15:00+05:30,2026-08-31,1551.98,1554.43,1549.15,1549.84,328578,1550.0,-0.0103,NSE
INFY.NS,2026-08-31T09:16:00+05:30,2026-08-31,1549.24,1557.55,1547.98,1557.08,748520,1549.84,0.4671,NSE
INFY.NS,2026-08-31T09:17:00+05:30,2026-08-31,1560.75,1563.21,1557.47,1557.81,266650,1557.08,0.0469,NSE
INFY.NS,2026-08-31T09:18:00+05:30,2026-08-31,1558.1,1563.32,1556.19,1562.34,262561,1557.81,0.2908,NSE
INFY.NS,2026-08-31T09:19:00+05:30,2026-08-31,1559.67,1708.77,1557.56,1708.42,469537,1562.34,9.3501,NSE
INFY.NS,2026-08-31T09:20:00+05:30,2026-08-31,1710.66,1723.06,1710.03,1721.32,517324,1708.42,0.7551,NSE
ICICIBANK.NS,2026-08-31T09:15:00+05:30,2026-08-31,1420.05,1428.5,1418.92,1427.76,356154,1420.0,0.5465,NSE
ICICIBANK.NS,2026-08-31T09:16:00+05:30,2026-08-31,1429.75,1431.25,1428.37,1428.66,594862,1427.76,0.063,NSE
ICICIBANK.NS,2026-08-31T09:17:00+05:30,2026-08-31,1425.89,1429.52,1423.36,1428.4,570431,1428.66,-0.0182,NSE
ICICIBANK.NS,2026-08-31T09:18:00+05:30,2026-08-31,1426.55,1428.13,1421.99,1422.45,832435,1428.4,-0.4165,NSE
ICICIBANK.NS,2026-08-31T09:19:00+05:30,2026-08-31,1425.85,1431.14,1425.28,1429.64,816716,1422.45,0.5055,NSE
ICICIBANK.NS,2026-08-31T09:20:00+05:30,2026-08-31,1427.25,1441.36,1425.58,1439.86,429920,1429.64,0.7149,NSE
SBIN.NS,2026-08-31T09:15:00+05:30,2026-08-31,821.05,826.71,819.95,825.63,755059,820.0,0.6866,NSE
SBIN.NS,2026-08-31T09:16:00+05:30,2026-08-31,826.25,832.92,825.4,832.17,317823,825.63,0.7921,NSE
SBIN.NS,2026-08-31T09:17:00+05:30,2026-08-31,830.36,830.55,827.91,828.81,473871,832.17,-0.4038,NSE
SBIN.NS,2026-08-31T09:18:00+05:30,2026-08-31,829.67,829.91,822.02,822.27,176907,828.81,-0.7891,NSE
SBIN.NS,2026-08-31T09:19:00+05:30,2026-08-31,820.51,827.48,819.47,827.0,464464,822.27,0.5752,NSE
SBIN.NS,2026-08-31T09:20:00+05:30,2026-08-31,827.92,986.55,826.99,984.96,509701,827.0,19.1004,NSE
BHARTIARTL.NS,2026-08-31T09:15:00+05:30,2026-08-31,1682.58,1688.5,1681.98,1687.65,859182,1680.0,0.4554,NSE
BHARTIARTL.NS,2026-08-31T09:16:00+05:30,2026-08-31,1686.9,1689.57,1683.24,1683.72,301116,1687.65,-0.2329,NSE
BHARTIARTL.NS,2026-08-31T09:17:00+05:30,2026-08-31,1685.64,1688.14,1671.25,1671.88,457433,1683.72,-0.7032,NSE
BHARTIARTL.NS,2026-08-31T09:18:00+05:30,2026-08-31,1671.45,1672.91,1662.52,1663.59,555105,1671.88,-0.4958,NSE
BHARTIARTL.NS,2026-08-31T09:19:00+05:30,2026-08-31,1660.06,1676.06,1657.45,1673.56,300262,1663.59,0.5993,NSE
BHARTIARTL.NS,2026-08-31T09:20:00+05:30,2026-08-31,1677.74,1680.32,1658.62,1661.53,532577,1673.56,-0.7188,NSE
ITC.NS,2026-08-31T09:15:00+05:30,2026-08-31,409.97,410.19,407.47,407.81,249021,410.0,-0.5341,NSE
ITC.NS,2026-08-31T09:16:00+05:30,2026-08-31,406.79,407.13,404.94,405.62,955587,407.81,-0.537,NSE
ITC.NS,2026-08-31T09:17:00+05:30,2026-08-31,406.02,406.58,403.64,404.23,1012028,405.62,-0.3427,NSE
ITC.NS,2026-08-31T09:18:00+05:30,2026-08-31,403.82,404.53,401.55,402.0,253160,404.23,-0.5517,NSE
ITC.NS,2026-08-31T09:19:00+05:30,2026-08-31,401.11,404.05,400.71,403.59,1091274,402.0,0.3955,NSE
ITC.NS,2026-08-31T09:20:00+05:30,2026-08-31,404.52,404.65,401.18,401.38,265645,403.59,-0.5476,NSE
LT.NS,2026-08-31T09:15:00+05:30,2026-08-31,3645.17,3661.66,3639.25,3660.23,617715,3650.0,0.2803,NSE
LT.NS,2026-08-31T09:16:00+05:30,2026-08-31,3651.81,3666.06,3647.24,3664.85,1139718,3660.23,0.1262,NSE
LT.NS,2026-08-31T09:17:00+05:30,2026-08-31,3660.47,3665.12,3651.51,3654.08,654330,3664.85,-0.2939,NSE
LT.NS,2026-08-31T09:18:00+05:30,2026-08-31,3657.22,3659.71,3645.41,3647.99,289918,3654.08,-0.1667,NSE
LT.NS,2026-08-31T09:19:00+05:30,2026-08-31,3650.2,3654.22,3618.05,3619.35,1167750,3647.99,-0.7851,NSE
LT.NS,2026-08-31T09:20:00+05:30,2026-08-31,3615.1,3621.22,3596.94,3602.74,614070,3619.35,-0.4589,NSE
AXISBANK.NS,2026-08-31T09:15:00+05:30,2026-08-31,1177.98,1179.79,1175.98,1177.54,1215304,1180.0,-0.2085,NSE
AXISBANK.NS,2026-08-31T09:16:00+05:30,2026-08-31,1179.41,1180.21,1166.8,1168.27,429046,1177.54,-0.7872,NSE
AXISBANK.NS,2026-08-31T09:17:00+05:30,2026-08-31,1170.55,1172.17,1163.35,1163.87,722839,1168.27,-0.3766,NSE
AXISBANK.NS,2026-08-31T09:18:00+05:30,2026-08-31,1165.14,1166.43,1163.72,1165.82,687433,1163.87,0.1675,NSE
AXISBANK.NS,2026-08-31T09:19:00+05:30,2026-08-31,1164.37,1167.85,1164.04,1165.92,1005386,1165.82,0.0086,NSE
AXISBANK.NS,2026-08-31T09:20:00+05:30,2026-08-31,1163.26,1172.92,1162.78,1172.06,683392,1165.92,0.5266,NSE
